温度（℃）,原始放热功率（W/kg）,端点线性基线（W/kg）,校正放热功率（W/kg）,固化进度
17.282,2257.18,402.93101604278075,1854.248983957219,0.8734071634262587
17.315,2270.14,402.9215307486631,1867.2184692513367,0.8703950057902642
17.349,2282.6499999999996,402.91175802139037,1879.7382419786093,0.8672703144494609
17.382,2294.73,402.90227272727276,1891.8277272727273,0.8642176070492813
17.416,2306.4300000000003,402.89250000000004,1903.5375000000004,0.8610525465015304
17.451,2317.7599999999998,402.8824398395722,1914.8775601604275,0.8577746086915088
17.486,2328.7599999999998,402.8723796791444,1925.8876203208554,0.8544774843071352
17.52,2339.48,402.86260695187167,1936.6173930481284,0.85125643402574
17.554,2349.94,402.85283422459895,1947.087165775401,0.8480177048541905
17.588,2360.1800000000003,402.84306149732623,1957.336938502674,0.8447616970778269
17.622,2370.25,402.8332887700535,1967.4167112299465,0.8414887359284894
17.657,2380.1800000000003,402.8232286096257,1977.3567713903747,0.8381023250886713
17.691,2390.02,402.81345588235297,1987.206544117647,0.8347961655526122
17.725,2399.79,402.80368315508025,1996.9863168449197,0.8314736363930334
17.76,2409.5499999999997,402.7936229946524,2006.7563770053473,0.8280366031342085
17.795,2419.34,402.7835628342246,2016.5564371657756,0.8245827698061569
17.829,2429.19,402.7737901069519,2026.4162098930483,0.8212112225492839
17.862,2439.14,402.7643048128342,2036.3756951871655,0.8179227967295737
17.897,2449.23,402.75424465240644,2046.4757553475936,0.8144178521566159
17.93,2459.5,402.7447593582888,2056.755240641711,0.8110966949163014
17.965,2469.9900000000002,402.734699197861,2067.255300802139,0.8075564171126206
17.999,2480.74,402.72492647058823,2078.0150735294114,0.8040995609378104
18.032,2491.7799999999997,402.7154411764706,2089.0645588235293,0.8007267245789792
18.066,2503.13,402.7056684491979,2100.424331550802,0.797232993354674
18.102,2514.85,402.69532085561497,2112.1546791443848,0.7935133603597951
18.136,2526.95,402.68554812834225,2124.2644518716575,0.7899804927034849
18.17,2539.46,402.67577540106953,2136.7842245989305,0.7864270857846899
18.205,2552.4,402.6657152406417,2149.734284759358,0.7827473021902394
18.238,2565.82,402.6562299465241,2163.163770053476,0.7792564403266298
18.271,2579.71,402.6467446524064,2177.0632553475934,0.7757434583804248
18.306,2594.11,402.6366844919786,2191.4733155080216,0.771993265964342
18.341,2609.02,402.62662433155083,2206.393375668449,0.7682178949574415
18.377,2624.4700000000003,402.61627673796795,2221.8537232620324,0.7643078308430742
18.41,2640.46,402.6067914438503,2237.8532085561496,0.760698141800277
18.445,2656.99,402.59673128342246,2254.3932687165775,0.7568417499864519
18.478,2674.09,402.58724598930485,2271.5027540106953,0.753178487460047
18.51,2691.73,402.5780481283423,2289.1519518716577,0.749598951729522
18.546,2709.94,402.56770053475935,2307.3722994652408,0.7455403018564576
18.581,2728.69,402.5576403743316,2326.1323596256684,0.7415626462387083
18.615,2747.9900000000002,402.54786764705887,2345.4421323529414,0.737666890432602
18.65,2767.82,402.53780748663104,2365.282192513369,0.7336229452004095
18.682,2788.17,402.5286096256685,2385.6413903743314,0.7298940725242987
18.716,2809.02,402.51883689839576,2406.501163101604,0.7258977716607569
18.751,2830.36,402.50877673796793,2427.8512232620324,0.7217476972910094
18.783,2852.17,402.4995788770054,2449.670421122995,0.7179194611871083
18.817,2874.4100000000003,402.48980614973266,2471.9201938502674,0.7138152099873294
18.85,2897.0600000000004,402.480320855615,2494.5796791443854,0.7097953224820099
18.885,2920.1000000000004,402.47026069518716,2517.629739304813,0.7054925658393649
